time,status,gaze_x,gaze_y
7.674,OUTSIDE,0.29130673,0.06823943
7.706,OUTSIDE,0.26020133,0.078584254
7.741,OUTSIDE,0.21848737,0.09617109
7.778,OUTSIDE,0.22867358,0.09304608
7.804,INSIDE,0.13634104,0.098567314
7.831,INSIDE,0.11457325,0.11521295
7.868,INSIDE,0.10043443,0.11884487
7.898,INSIDE,0.1513832,0.10770923
7.938,OUTSIDE,0.21290185,0.0832059
7.962,OUTSIDE,0.2568438,0.05885067
7.990,OUTSIDE,0.31470278,0.03171976
8.027,OUTSIDE,0.36523825,0.010503391
8.077,OUTSIDE,0.39848903,0.0043952204
8.112,OUTSIDE,0.42564642,-0.0021418517
8.140,OUTSIDE,0.44729334,0.006108736
8.171,OUTSIDE,0.4636913,0.0076567
8.203,OUTSIDE,0.47941786,0.012638133
8.235,OUTSIDE,0.4855193,0.025060683
8.273,OUTSIDE,0.49718773,0.031806394
8.301,OUTSIDE,0.50227946,0.036482617
8.332,OUTSIDE,0.48511612,0.035681874
8.364,OUTSIDE,0.47683716,0.03894826
8.396,OUTSIDE,0.46789247,0.03214354
8.430,OUTSIDE,0.45452666,0.025393544
8.474,OUTSIDE,0.42737278,0.02056326
8.507,OUTSIDE,0.31217974,0.046694085
8.533,OUTSIDE,0.2599809,0.06333771
8.571,OUTSIDE,0.24852714,0.0721135
8.606,INSIDE,0.15164845,0.09090914
8.634,INSIDE,0.15687414,0.0948925
8.667,INSIDE,0.13158314,0.10927143
8.698,INSIDE,0.12124028,0.1177986
8.730,INSIDE,0.07980533,0.13446097
8.766,INSIDE,0.03987862,0.14202307
8.794,INSIDE,0.019080196,0.13709927
8.828,INSIDE,-0.0052656895,0.13698511
8.874,INSIDE,0.016565483,0.1363925
8.907,INSIDE,-0.0034737429,0.12916616
8.946,INSIDE,-0.02213377,0.13026005
8.971,INSIDE,-0.03422533,0.13864297
9.003,INSIDE,-0.009126187,0.1340557
9.034,INSIDE,0.010786964,0.1400548
9.064,INSIDE,0.022071138,0.14469364
9.107,INSIDE,0.052858245,0.12576675
9.130,INSIDE,0.07479374,0.11731529
9.159,INSIDE,0.1294064,0.10165805
9.190,INSIDE,0.13291846,0.088995114
9.222,INSIDE,0.18269137,0.061744977
9.281,OUTSIDE,0.25459296,0.03401128
9.310,OUTSIDE,0.30807346,0.0040508136
9.336,OUTSIDE,0.33862507,-0.012838259
9.371,OUTSIDE,0.3707778,-0.016201137
9.399,OUTSIDE,0.38669288,-0.012755285
9.441,OUTSIDE,0.41262838,0.0007026484
9.468,OUTSIDE,0.4362764,0.0127233
9.500,OUTSIDE,0.4442607,0.020185607
9.531,OUTSIDE,0.46230084,0.02800932
9.563,OUTSIDE,0.47448948,0.008858232
9.601,OUTSIDE,0.49063873,-0.010351973
9.626,OUTSIDE,0.49623033,-0.009352094
9.672,OUTSIDE,0.4912089,-0.0044441856
9.708,OUTSIDE,0.46901715,0.021406893
9.739,OUTSIDE,0.29584742,0.05468209
9.778,OUTSIDE,0.22674042,0.08493274
9.798,OUTSIDE,0.21731204,0.088658236
9.831,OUTSIDE,0.19192556,0.08826316
9.865,INSIDE,0.15141332,0.081303254
9.895,INSIDE,0.1653155,0.09153752
9.938,INSIDE,0.17061587,0.09048007
9.966,INSIDE,0.15680294,0.095434435
9.997,INSIDE,0.16187388,0.09917715
10.028,INSIDE,0.15297237,0.1024013
10.076,INSIDE,0.13628599,0.0987439
10.114,INSIDE,0.12473369,0.10998987
10.137,INSIDE,0.11622593,0.10266429
10.172,INSIDE,0.13123608,0.11427223
10.203,INSIDE,0.109333515,0.107566245
10.236,INSIDE,0.11769557,0.09507176
10.275,INSIDE,0.099012874,0.09066522
10.294,INSIDE,0.0979284,0.088368
10.331,OUTSIDE,0.19298837,0.06481018
10.364,OUTSIDE,0.27220124,-0.0065615885
10.390,OUTSIDE,0.3240614,-0.06655601
10.432,OUTSIDE,0.36014375,-0.09273178
10.476,OUTSIDE,0.3989512,-0.119038224
10.505,OUTSIDE,0.42406565,-0.13715976
10.538,OUTSIDE,0.44193873,-0.13768664
10.571,OUTSIDE,0.45181316,-0.1447205
10.610,OUTSIDE,0.44913054,-0.16114321
10.635,OUTSIDE,0.45757985,-0.17615473
10.665,OUTSIDE,0.46232247,-0.17113546
10.699,OUTSIDE,0.46395776,-0.16674305
10.731,OUTSIDE,0.34385002,-0.12679094
10.770,OUTSIDE,0.35722333,-0.081525564
10.794,OUTSIDE,0.34409928,-0.033447288
10.828,OUTSIDE,0.34992713,-0.00026856922
10.873,OUTSIDE,0.32405055,0.02650878
10.908,OUTSIDE,0.29568303,0.03871606
10.947,OUTSIDE,0.26725644,0.056929123
10.979,OUTSIDE,0.2507636,0.064056925
11.007,OUTSIDE,0.22570542,0.056119144
11.040,INSIDE,0.17963687,0.05485652
11.070,INSIDE,0.117954664,0.05848623
11.106,INSIDE,0.09945059,0.057273366
11.130,INSIDE,0.13359246,0.039521437
11.164,INSIDE,0.12392854,0.03951193
11.191,INSIDE,0.12049632,0.04025601
11.222,INSIDE,0.067739755,0.05139698
11.284,INSIDE,0.046291728,0.06476206
